#
#	Japanese NetHack Copyright (c) Issei Numata 2000
#	For 3.4, (c) Kentaro Shirakata 2003-2009
#	For UnNetHack 3.5 Copyright (c) Masaki Miyaso, 2009
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese objects transfer table
#
#	missiles
#
)arrow:			矢:
#]silver dragon scale mail:	銀色ドラゴンの鱗鎧:
#]red dragon scale mail:		赤色ドラゴンの鱗鎧:
#]white dragon scale mail:	白ドラゴンの鱗鎧:
#]orange dragon scale mail:	オレンジドラゴンの鱗鎧:
#]black dragon scale mail:	黒ドラゴンの鱗鎧:
#]blue dragon scale mail:	青ドラゴンの鱗鎧:
#]green dragon scale mail:	緑ドラゴンの鱗鎧:
#]gold dragon scale mail:	金色ドラゴンの鱗鎧:	#UnNetHack
#]yellow dragon scale mail:	黄色ドラゴンの鱗鎧:
]tatzelworm scale mail:		タッツェルブルムの鱗鎧:
]amphitere scale mail:		アンフィテァの鱗鎧:
]draken scale mail:		ドラケンの鱗鎧:
]lindworm scale mail:		リンドワームの鱗鎧:
]sarkany scale mail:		サーカニーの鱗鎧:
]sirrush scale mail:		ムシュフシュの鱗鎧:
]leviathan scale mail:		リヴァイアサンの鱗鎧:
]wyvern scale mail:		ワイバーンの鱗鎧:
]gold dragon scale mail:	ゴールドドラゴンの鱗鎧:
]guivre scale mail:		ギーブルの鱗鎧:
]magic dragon scale mail:	魔法竜の鱗鎧:
]reflecting dragon scale mail:	反射竜の鱗鎧:
]fire dragon scale mail:	火竜の鱗鎧:
]ice dragon scale mail:		氷竜の鱗鎧:
]sleep dragon scale mail:	睡眠竜の鱗鎧:
]disintegration dragon scale mail:	分解竜の鱗鎧:
]electric dragon scale mail:	雷竜の鱗鎧:
]poison dragon scale mail:	毒竜の鱗鎧:
]stone dragon scale mail:	石竜の鱗鎧:
]acid dragon scale mail:	酸竜の鱗鎧:
#]gray dragon scales:		灰色ドラゴンの鱗:
#]silver dragon scales:		銀色ドラゴンの鱗:
#]red dragon scales:		赤色ドラゴンの鱗:
#]white dragon scales:		白ドラゴンの鱗:
#]orange dragon scales:		オレンジドラゴンの鱗:
#]black dragon scales:		黒ドラゴンの鱗:
#]blue dragon scales:		青ドラゴンの鱗:
#]green dragon scales:		緑ドラゴンの鱗:
#]gold dragon scales:		金色ドラゴンの鱗:	#UnNetHack
#]yellow dragon scales:		黄色ドラゴンの鱗:
]tatzelworm scales:		タッツェルブルムの鱗:
]amphitere scales:		アンフィテァの鱗:
]draken scales:			ドラケンの鱗:
]lindworm scales:		リンドワームの鱗:
]sarkany scales:		サーカニーの鱗:
]sirrush scales:		ムシュフシュの鱗:
]leviathan scales:		リヴァイアサンの鱗:
]wyvern scales:			ワイバーンの鱗:
]gold dragon scales:		ゴールドドラゴンの鱗:
]guivre scales:			ギーブルの鱗:
]magic dragon scales:		魔法竜の鱗:
]reflecting dragon scales:	反射竜の鱗:
]fire dragon scales	:	火竜の鱗:
]ice dragon scales:		氷竜の鱗:
]sleep dragon scales:		睡眠竜の鱗:
]disintegration dragon scales:	分解竜の鱗:
]electric dragon scales:	雷竜の鱗:
]poison dragon scales:		毒竜の鱗:
]stone dragon scales:		石竜の鱗:
]acid dragon scales:		酸竜の鱗:
]plate mail:		鋼鉄の鎧:
]crystal plate mail:	水晶の鎧:
]bronze plate mail:	青銅の鎧:
]splint mail:		鉄片の鎧:
]banded mail:		帯金の鎧:
]dwarvish mithril-coat:	ドワーフのミスリル服:
]elven mithril-coat:	エルフのミスリル服:
]chain mail:		鎖かたびら:
]orcish chain mail:	オークの鎖かたびら:
]crude chain mail:	粗末な鎖かたびら:
]scale mail:		鱗の鎧:
]studded leather armor:	鋲付き革鎧:
]ring mail:		鉄環の鎧:
]orcish ring mail:	オークの鉄環の鎧:
]crude ring mail:	粗末な鉄環の鎧:
]leather armor:		革鎧:
]leather jacket:	革の服:
#
#	cloaks
#
]mummy wrapping:	ミイラの包帯:
]elven cloak:		エルフのクローク:
]faded pall:		陰気な外套:
]orcish cloak:		オークのクローク:
]coarse mantelet:	粗末なマント:
]dwarvish cloak:	ドワーフのクローク:
]hooded cloak:		フードつきのクローク:
]oilskin cloak:		防水クローク:
]slippery cloak:	つるつるしたクローク:
]cloak of protection:	守りのクローク:
]tattered cape:		ぼろぼろのケープ:
]cloak of invisibility:	透明のクローク:
]opera cloak:		オペラクローク:
]cloak of magic resistance:	魔法を防ぐクローク:
]ornamental cope:	装飾用の外套:
]cloak of displacement:	幻影のクローク:
]piece of cloth:	布切れ:
]robe:			ローブ:
]alchemy smock:		錬金術の仕事着:
]apron:			エプロン:
]leather cloak:		革のクローク:
#
#	shields
#
]small shield:		小さな盾:
]elven shield:		エルフの盾:
]blue and green shield:	青と緑の盾:
]Uruk-hai shield:	ウルク・ハイの盾:
]white-handed shield:	白の手の盾:
]orcish shield:		オークの盾:
]red-eyed shield:	赤い目の盾:
]large shield:		大きな盾:
]dwarvish roundshield:	ドワーフの丸盾:
]large round shield:	大きな丸盾:
]shield of reflection:	反射の盾:
]polished silver shield:	銀色の磨かれた盾:
#
#	underwears
#
]Hawaiian shirt:		アロハシャツ:
]T-shirt:		Ｔシャツ:
#
#	gloves
#
]leather gloves:	革の手袋:
]old gloves:		古い手袋:
]gauntlets of fumbling:	お手玉の小手:
]padded gloves:		詰めもののある手袋:
]gauntlets of power:	力の小手:
]riding gloves:		乗馬用の手袋:
]gauntlets of dexterity:	器用さの小手:
]fencing gloves:	フェンシングの小手:
#
#	boots
#
]low boots:		かかとの低い靴:
]walking shoes:		散歩用の靴:
]iron shoes:		鉄の靴:
]hard shoes:		固い靴:
]high boots:		かかとの高い靴:
]jackboots:		軍隊靴:
]speed boots:		韋駄天の靴:
]combat boots:		戦闘靴:
]water walking boots:	水上歩行の靴:
]jungle boots:		ジャングルの靴:
]jumping boots:		飛び跳ねる靴:
]hiking boots:		ハイキングの靴:
]elven boots:		エルフの靴:
]mud boots:		長靴:
]fumble boots:		つまずきの靴:
]riding boots:		乗馬用の靴:
]levitation boots:	浮遊の靴:
]snow boots:		雪靴:
]kicking boots:		蹴り挙げ靴:
]buckled boots:		留め金のある靴:
#
#	rings
#
=adornment:		飾りの指輪:
=gain strength:		強さの指輪:
=gain constitution:	耐久力の指輪:
=gain intelligence:	知力の指輪:
=gain wisdom:		賢さの指輪:
=gain dexterity:	素早さの指輪:
=increase accuracy:	命中の指輪:
=increase damage:	攻撃の指輪:
=protection:		守りの指輪:
=regeneration:		回復の指輪:
=searching:		探索の指輪:
=stealth:		忍びの指輪:
=sustain ability:	能力維持の指輪:
=levitation:		浮遊の指輪:
=hunger:		飢餓の指輪:
=aggravate monster:	反感の指輪:
=conflict:		争いの指輪:
=warning:		警告の指輪:
=poison resistance:	耐毒の指輪:
=fire resistance:	耐炎の指輪:
=cold resistance:	耐冷の指輪:
=shock resistance:	耐電の指輪:
=free action:		自由行動の指輪:
=slow digestion:	消化不良の指輪:
=teleportation:		瞬間移動の指輪:
=teleport control:	瞬間移動制御の指輪:
=polymorph:		変化の指輪:
=polymorph control:	変化制御の指輪:
=invisibility:		透明の指輪:
=see invisible:		可視の指輪:
=protection from shape changers:	耐変化怪物の指輪:
#
=wooden:	木の指輪:
=granite:	花崗岩の指輪:
=opal:		オパールの指輪:
=clay:		土の指輪:
=coral:		珊瑚の指輪:
=black onyx:	黒めのうの指輪:
=moonstone:	月長石の指輪:
=tiger eye:	虎目石の指輪:
=jade:		ひすいの指輪:
=bronze:	青銅の指輪:
=agate:		めのうの指輪:
=topaz:		トパーズの指輪:
=sapphire:	サファイアの指輪:
=ruby:		ルビーの指輪:
=diamond:	ダイヤモンドの指輪:
=pearl:		真珠の指輪:
=iron:		鉄の指輪:
=brass:		真鍮の指輪:
=copper:	銅の指輪:
=twisted:	ねじれた指輪:
=steel:		鋼鉄の指輪:
=silver:	銀の指輪:
=gold:		金の指輪:
=ivory:		象牙の指輪:
=emerald:	エメラルドの指輪:
=wire:		針金の指輪:
=engagement:	婚約指輪:
=shiny:		光る指輪:
=quartz:	石英の指輪:
=porcelain:	磁器製の指輪:
=ceramic:	陶器製の指輪:
=plain:		簡素な指輪:		#Slash
=glass:		ガラスの指輪:		#Slash
=obsidian:	黒燿石の指輪:		#Slash
=ridged:	峰の尖った指輪:		#Slash'em
=wedding:	結婚指輪:		#Slash
=mithril:	ミスリルの指輪:		#UnNetHack
=platinum:	プラチナの指輪:		#UnNetHack
=jacinth:	橙水晶の指輪:		#UnNetHack
=citrine:	黄水晶の指輪:		#UnNetHack
=amber:		琥珀の指輪:		#UnNetHack
=jet:		黒玉の指輪:		#UnNetHack
=chrysoberyl:	金緑石の指輪:		#UnNetHack
=plastic:	樹脂製の指輪:		#UnNetHack
#
#	amulets
#
"amulet of ESP:			遠視の魔除け:
"amulet of life saving:		命の魔除け:
"amulet of strangulation:	絞殺の魔除け:
"amulet of restful sleep:	安眠の魔除け:
"amulet versus poison:		耐毒の魔除け:
"amulet of change:		性転換の魔除け:
"amulet of unchanging:		無変化の魔除け:
"amulet of reflection:		反射の魔除け:
"amulet of magical breathing:	呼吸の魔除け:
"circular:	丸い魔除け:
"spherical:	球の魔除け:
"oval:		卵型の魔除け:
"triangular:	三角形の魔除け:
"pyramidal:	四角錐の魔除け:
"square:	四角の魔除け:
"concave:	凹面の魔除け:
"hexagonal:	六角形の魔除け:
"octagonal:	八角形の魔除け:
"warped:	歪んだ魔除け:		#Slash
"convex:	凸面の魔除け:		#Slash'em
"lunate:	三日月形の魔除け:	#Slash
"spiked:	棘付きの魔除け:		#SporkHack
"rectangular:	方形の魔除け:		#UnNetHack
"elliptic:	楕円の魔除け:		#UnNetHack
"cheap plastic imitation of the Amulet of Yendor:偽物のイェンダーの魔除け:
"Amulet of Yendor:	イェンダーの魔除け:
#
#	containers
#
(large box:	大箱:
(chest:		宝箱:
(iron safe:	鉄の金庫:		#UnNetHack
(ice box:	アイスボックス:
(sack:		袋:
(oilskin sack:	防水袋:
(bag of holding:	軽量化の鞄:
(bag of tricks:	トリックの鞄:
(bag:		鞄:
#
#	lock opening tools
#
(skeleton key:	万能鍵:
(key:		鍵:
(lock pick:	鍵開け器具:
(credit card:	クレジットカード:
#
#	light sources
#
(tallow candle:	獣脂のろうそく:
(candle:	ろうそく:
(wax candle:	蜜蝋のろうそく:
(brass lantern:	真鍮のランタン:
(oil lamp:	オイルランプ:
(lamp:		ランプ:
(magic lamp:	魔法のランプ:
#
#	other tools
#
(expensive camera:	高価なカメラ:
(mirror:	鏡:
(looking glass:	ガラス:
(crystal ball:	水晶玉:
(glass orb:	ガラスの球:
(lenses:	レンズ:
(blindfold:	目隠し:
(towel:		タオル:
(saddle:	鞍:
(leash:		紐:
(stethoscope:	聴診器:
(tinning kit:	缶詰作成道具:
(tin opener:	缶切り:
(can of grease:	脂の缶:
(figurine:	人形:
(magic marker:	魔法のマーカ:
#
#	instruments
#
(tin whistle:	ブリキの笛:
(whistle:	笛:
(magic whistle:	魔法の笛:
(wooden flute:	木のフルート:
(flute:		フルート:
(magic flute:	魔法のフルート:
(tooled horn:	細工のほどこされたホルン:
(horn:		ホルン:
(frost horn:	吹雪のホルン:
(fire horn:	炎のホルン:
(horn of plenty:	恵みのホルン:
(wooden harp:	木の竪琴:
(harp:		竪琴:
(magic harp:	魔法の竪琴:
(bell:		ベル:
(bugle:		ラッパ:
(leather drum:	革の太鼓:
(drum:		太鼓:
(drum of earthquake:	地震の太鼓:
(land mine:	地雷:
(beartrap:	熊の罠:
#
#	tools useful as weapons
#
(pick-axe:	つるはし:
(grappling hook:	ひっかけ棒:
(iron hook:		鉄のフック:
(unicorn horn:	ユニコーンの角:
#
#	special tools
#
(Candelabrum of Invocation:	祈りの燭台:
(candelabrum:			燭台:
(Bell of Opening:		開放のベル:
(silver bell:			銀のベル:
#
#	meat
#
%tripe ration:	乾し肉:
%corpse:	死体:
%egg:		卵:
%meatball:	ミートボール:
%meat stick:	ミートスティック:
%huge chunk of meat:	大きな肉のかたまり:
%meat ring:	ミートリング:
%kelp frond:	ワカメ:
%eucalyptus leaf:	ユーカリの葉:
#
#	fruits & veggies
#
%apple:		りんご:
%orange:	オレンジ:
%pear:		洋ナシ:
%melon:		メロン:
%banana:		バナナ:
%carrot:		にんじん:
%sprig of wolfsbane:	トリカブト:
%clove of garlic:	にんにく:
%slime mold:		ねばねばカビ:
%slice of pizza:	ピザ:
#
#	human food
#
%lump of royal jelly:	ロイヤルゼリー:
%cream pie:		クリームパイ:
%candy bar:		キャンディ:
%fortune cookie:	占いクッキー:
%pancake:		パンケーキ:
%lembas wafer:		レンバス:
%cram ration:		クラム:
%food ration:		食料:
%K-ration:		Ｋレーション:
%C-ration:		Ｃレーション:
%tin:			缶:
#
#	potions
#
!gain ability:		能力獲得の薬:
!restore ability:	能力回復の薬:
!confusion:		混乱の薬:
!blindness:		盲目の薬:
!paralysis:		麻痺の薬:
!speed:			加速の薬:
!levitation:		浮遊の薬:
!hallucination:		幻覚の薬:
!invisibility:		透明の薬:
!see invisible:		可視の薬:
!healing:		回復の薬:
!extra healing:		超回復の薬:
!gain level:		レベルアップの薬:
!enlightenment:		啓蒙の薬:
!monster detection:	怪物を探す薬:
!object detection:	物体を探す薬:
!gain energy:		魔力の薬:
!sleeping:		睡眠の薬:
!full healing:		完全回復の薬:
!polymorph:		変化の薬:
!booze:			酔っぱらいの薬:
!sickness:		病気の薬:
!fruit juice:		フルーツジュース:
!water:			水:
!oil:			油:
!acid:			酸の薬:
!blood:			血液:		#Slash'em
!vampire blood:		吸血鬼の血液:	#Slash'em
!ruby:			ルビー色の:
!pink:			ピンク色の:
!orange:		オレンジ色の:
!yellow:		黄色の:
!emerald:		エメラルド色の:
!dark green:		暗緑色の:
#!cyan:			シアン色の:
!sky blue:		水色の:
#!brilliant blue:	明るい青色の:
!magenta:		マゼンダ色の:
#!purple-red:		赤紫色の:
!puce:			暗褐色の:
!milky:			ミルク色の:
!swirly:		渦を巻いている:
!bubbly:		泡だっている:
!smoky:			煙がでている:
!cloudy:		曇っている:
!effervescent:		沸騰している:
!black:			黒い:
!white:			白い:
!brown:			茶色の:
!fizzy:			発泡している:
!dark:			陰気な色の:
!clear:			無色の:
!murky:			濃黒の:
!golden:		金色の:
!muddy:			さえない色の:	#Slash
!sparkling:		泡立つ:		#Slash'em
!blood-red:		血のように赤い:	#Slash'em
!luminescent:		光る:		#Slash
!icy:			冷たそうな:	#Slash
!greasy:		脂っぽい:	#SporkHack
!slimy:			ねばねばした:	#SporkHack
!soapy:			石鹸の:		#UnNetHack
!ochre:			黄土色の:	#UnNetHack
!steamy:		湯気の出ている:	#UnNetHack
!indigo:		藍色の:		#UnNetHack
!silver:		銀色の:		#UnNetHack
!viscous:		粘っこい:	#UnNetHack
!amber:			琥珀色の:	#UnNetHack
!squishy:		ネバネバした:	#UnNetHack
!gooey:			甘ったるそうな:	#UnNetHack
#
#	scrolls
#
?enchant armor:		鎧に魔法をかける巻物:
?destroy armor:		鎧を破壊する巻物:
?confuse monster:	怪物を混乱させる巻物:
?scare monster:		怪物を怯えさせる巻物:
?remove curse:		解呪の巻物:
?enchant weapon:	武器に魔法をかける巻物:
?create monster:	怪物を作る巻物:
?taming:		怪物を飼いならす巻物:
?genocide:		虐殺の巻物:
?light:			光の巻物:
?teleportation:		瞬間移動の巻物:
?gold detection:	金貨を探す巻物:
?food detection:	食料を探す巻物:
?identify:		識別の巻物:
?magic mapping:		地図の巻物:
?amnesia:		記憶喪失の巻物:
?fire:			炎の巻物:
?earth:			大地の巻物:
?punishment:		罰の巻物:
?charging:		充填の巻物:
?stinking cloud:	悪臭雲の巻物:
?mail:			手紙の巻物:
?blank paper:		白紙の巻物:
?ZELGO MER:		『ZELGO MER』と書かれた巻物:
?JUYED AWK YACC:	『JUYED AWK YACC』と書かれた巻物:
?NR 9:			『NR 9』と書かれた巻物:
?XIXAXA XOXAXA XUXAXA:	『XIXAXA XOXAXA XUXAXA』と書かれた巻物:
?PRATYAVAYAH:		『PRATYAVAYAH』と書かれた巻物:
?DAIYEN FOOELS:		『DAIYEN FOOELS』と書かれた巻物:
?LEP GEX VEN ZEA:	『LEP GEX VEN ZEA』と書かれた巻物:
?PRIRUTSENIE:		『PRIRUTSENIE』と書かれた巻物:
?ELBIB YLOH:		『ELBIB YLOH』と書かれた巻物:
?VERR YED HORRE:	『VERR YED HORRE』と書かれた巻物:
?VENZAR BORGAVVE:	『VENZAR BORGAVVE』と書かれた巻物:
?THARR:			『THARR』と書かれた巻物:
?YUM YUM:		『YUM YUM』と書かれた巻物:
?KERNOD WEL:		『KERNOD WEL』と書かれた巻物:
?ELAM EBOW:		『ELAM EBOW』と書かれた巻物:
?DUAM XNAHT:		『DUAM XNAHT』と書かれた巻物:
?ANDOVA BEGARIN:	『ANDOVA BEGARIN』と書かれた巻物:
?KIRJE:			『KIRJE』と書かれた巻物:
?VE FORBRYDERNE:	『VE FORBRYDERNE』と書かれた巻物:
?HACKEM MUCHE:		『HACKEM MUCHE』と書かれた巻物:
?VELOX NEB:		『VELOX NEB』と書かれた巻物:
?FOOBIE BLETCH:		『FOOBIE BLETCH』と書かれた巻物:
?TEMOV:			『TEMOV』と書かれた巻物:
?GARVEN DEH:		『GARVEN DEH』と書かれた巻物:
?READ ME:		『READ ME』と書かれた巻物:
?ETAOIN SHRDLU:		『ETAOIN SHRDLU』と書かれた巻物:	#UnNetHack
?LOREM IPSUM:		『LOREM IPSUM』と書かれた巻物:		#UnNetHack
?FNORD:			『FNORD』と書かれた巻物:		#UnNetHack
?KO BATE:		『KO BATE』と書かれた巻物:		#UnNetHack
?ACHAT SHTAYIM SHALOSH:	『ACHAT SHTAYIM SHALOSH』と書かれた巻物:#UnNetHack
?ABRA KA DABRA:		『ABRA KA DABRA』と書かれた巻物:	#UnNetHack
?ASHPD:			『ASHPD』と書かれた巻物:		#UnNetHack
?SODALG:		『SODALG』と書かれた巻物:		#UnNetHack
?ZLORFIK:		『ZLORFIK』と書かれた巻物:		#UnNetHack
?GNIK SISI VLE:		『GNIK SISI VLE』と書かれた巻物:	#UnNetHack
?HAPAX LEGOMENON:	『HAPAX LEGOMENON』と書かれた巻物:	#UnNetHack
?HZLRC KSTSBD MPFNG:	『HZLRC KSTSBD MPFNG』と書かれた巻物:	#UnNetHack
?EIRIS SAZUN IDISI:	『EIRIS SAZUN IDISI』と書かれた巻物:	#UnNetHack
?PHOL ENDE WODAN:	『PHOL ENDE WODAN』と書かれた巻物:	#UnNetHack
?GHOTI:			『GHOTI』と書かれた巻物:		#UnNetHack
?MAPIRO MAHAMA DIROMAT:	『MAPIRO MAHAMA DIROMAT』と書かれた巻物:#UnNetHack
?VAS CORP BET MAN:	『VAS CORP BET MAN』と書かれた巻物:	#UnNetHack
?stamped:		消印の押された巻物:
?unlabeled:		ラベルのない巻物:
#
#	spellbooks
#
+dig:			穴掘りの呪文書:
+magic missile:		矢の呪文書:
+fireball:		火の玉の呪文書:
+cone of cold:		冷気の呪文書:
+sleep:			眠りの呪文書:
+finger of death:	死の指の呪文書:
+light:			灯りの呪文書:
+detect monsters:	怪物を探す呪文書:
+healing:		回復の呪文書:
+knock:			開錠の呪文書:
+force bolt:		衝撃の呪文書:
+confuse monster:	混乱の呪文書:
+cure blindness:	盲目を癒す呪文書:
+drain life:		脱力の呪文書:
+slow monster:		牛歩の呪文書:
+wizard lock:		施錠の呪文書:
+create monster:	怪物を造る呪文書:
+detect food:		食料を探す呪文書:
+cause fear:		恐怖の呪文書:
+clairvoyance:		千里眼の呪文書:
+cure sickness:		病気を癒す呪文書:
+charm monster:		魅了の呪文書:
+haste self:		速攻の呪文書:
+detect unseen:		霊感の呪文書:
+levitation:		浮遊の呪文書:
+extra healing:		超回復の呪文書:
+restore ability:	能力回復の呪文書:
+invisibility:		透明の呪文書:
+detect treasure:	宝を探す呪文書:
+remove curse:		解呪の呪文書:
+magic mapping:		地図の呪文書:
+identify:		識別の呪文書:
+turn undead:		蘇生の呪文書:
+polymorph:		変化の呪文書:
+teleport away:		瞬間移動の呪文書:
+create familiar:	造魔の呪文書:
+cancellation:		無力化の呪文書:
+protection:		守りの呪文書:
+jumping:		跳躍の呪文書:
+stone to flesh:	軟化の呪文書:
#
+parchment:	羊皮紙の呪文書:
+vellum:	子牛皮の呪文書:
+ragged:	ぼろぼろの呪文書:
+dog eared:	ページの折られた呪文書:
+mottled:	まだらの呪文書:
+stained:	よごれた呪文書:
+cloth:		布地の呪文書:
+leather:	革の呪文書:
+white:		白い呪文書:
+pink:		ピンク色の呪文書:
+red:		赤い呪文書:
+orange:	オレンジ色の呪文書:
+yellow:	黄色い呪文書:
+velvet:	ビロードの呪文書:
+light green:	淡緑色の呪文書:
+dark green:	濃緑色の呪文書:
+turquoise:	青緑色の呪文書:
+cyan:		シアン色の呪文書:
+light blue:	淡青の呪文書:
+dark blue:	濃青の呪文書:
+indigo:	藍色の呪文書:
+magenta:	マゼンダ色の呪文書:
+purple:	紫色の呪文書:
+violet:	スミレ色の呪文書:
+tan:		黄褐色の呪文書:
+plaid:		ラシャの呪文書:
+light brown:	淡茶色の呪文書:
+dark brown:	濃茶色の呪文書:
+gray:		灰色の呪文書:
+dusty:		ほこりっぽい呪文書:
+bronze:	青銅の呪文書:
+copper:	銅の呪文書:
+silver:	銀の呪文書:
+gold:		金の呪文書:
+glittering:	きらびやかな呪文書:
+shining:	輝く呪文書:
+thin:		薄い色の呪文書:
+thick:		濃い色の呪文書:
+plain:		真っ白な呪文書:
+dull:		鉛色の呪文書:
+canvas:	麻布表紙の呪文書:
+hardcover:	固い表紙の呪文書:
+colorful:	カラフルな呪文書:	#Slash'em
+dark:		黒ずんだ呪文書:		#Slash
+spotted:	斑点の有る呪文書:	#Slash'em
+faded:		色あせた呪文書:		#Slash
+long:		長い呪文書:		#Slash
+rainbow:	虹色の呪文書:		#Slash'em
+ochre:		黄土色の呪文書:		#Slash'em
+tattered:	ぼろい呪文書:		#Slash'em
+wide:		幅の広い呪文書:		#Slash
+big:		大きな呪文書:		#Slash
+fuzzy:		けば立った呪文書:	#Slash
+black:		黒い呪文書:		#Slash
+left-handed:	左開きの呪文書:		#Slash'em
+psychedelic:	サイケデリックな呪文書:	#Slash'em
+spiral-bound:	螺旋綴じの呪文書:	#Slash'em
+stapled:	留め金で綴じた呪文書:	#Slash'em
+stylish:	スタイリッシュな呪文書:	#Slash'em
+tartan:	格子縞の呪文書:		#Slash'em
+chartreuse:	青リンゴ色の呪文書:	#SporkHack
+decrepit:	よれよれの呪文書:	#SporkHack
+paperback:	紙表紙の呪文書:		#SporkHack
+crimson:	真紅の呪文書:		#UnNetHack
+charcoal:	木炭画の呪文書:		#UnNetHack
+Book of the Dead:	死者の書:
+papyrus:	パピルスの呪文書:
+blank paper:		白紙の呪文書:
+wrinkled:	くしゃくしゃの呪文書:
#
#	wands
#
/light:			灯りの杖:
/secret door detection:	扉探索の杖:
/enlightenment:		啓蒙の杖:
/create monster:	怪物を造る杖:
/wishing:		願いの杖:
/nothing:		単なる杖:
/striking:		衝撃の杖:
/make invisible:	透明化の杖:
/slow monster:		減速の杖:
/speed monster:		加速の杖:
/undead turning:	蘇生の杖:
/polymorph:		変化の杖:
